SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
2239,4030,GNG,MINDANAO 4,MISAMIS ORIENTAL-GINGOOG CITY,75008-001-1,75008-001-1,MINDANAO,MISAMIS ORIENTAL-GINGOOG CITY,49
2240,4031,MBJ,MINDANAO 4,CAMIGUIN-MAMBAJAO,01008-989-1,01008-989-1,MINDANAO,CAMIGUIN-MAMBAJAO,49
2241,4032,SGO,MINDANAO 4,SURIGAO CITY-RIZAL,21008-001-4,21008-001-4,MINDANAO,SURIGAO CITY-RIZAL,49
2242,4033,SRG,MINDANAO4,SURIGAO CITY-GAISANO CAPITAL to 4032,21008-003-0,21008-003-0,MINDANAO,SURIGAO CITY-GAISANO CAPITAL to 4032,0
2244,4035,TDG,MINDANAO 4,SURIGAO DEL SUR-TANDAG CITY,59008-001-9,59008-001-9,MINDANAO,SURIGAO DEL SUR-TANDAG CITY,49
2246,4051,CBT,MINDANAO 3,COTABATO CITY-MAKAKUA,27008-001-2,27008-001-2,MINDANAO,COTABATO CITY-MAKAKUA,48
2247,4052,COT,MINDANAO 3,COTABATO CITY-DOROTHEO,27008-002-5,27008-002-5,MINDANAO,COTABATO CITY-DOROTHEO,48
2248,4053,DDG,MINDANAO 3,GENERAL SANTOS-SANTIAGO,24008-002-6,24008-002-6,MINDANAO,GENERAL SANTOS-SANTIAGO,48
2251,4056,ISU,MINDANAO 3,SULTAN KUDARAT-ISULAN,74008-001-8,74008-001-8,MINDANAO,SULTAN KUDARAT-ISULAN,48
2252,4057,KCC,MINDANAO 3,GENERAL SANTOS-KCC MALL,24008-004-2,24008-004-2,MINDANAO,GENERAL SANTOS-KCC MALL,48
2253,4058,KPW,MINDANAO 3,NORTH COTABATO-KIDAPAWAN,54008-001-4,54008-001-4,MINDANAO,NORTH COTABATO-KIDAPAWAN,48
2254,4059,KND,MINDANAO 3,KORONADAL CITY-MORROW,55008-001-7,55008-001-7,MINDANAO,KORONADAL CITY-MORROW,48
2255,4060,KOR,MINDANAO 3,KORONADAL CITY-POBLACION,55008-003-3,55008-003-3,MINDANAO,KORONADAL CITY-POBLACION,48
2257,4062,CSP,MINDANAO 3,COTABATO CITY-S.K. PENDATUN,27008-003-8,27008-003-8,MINDANAO,COTABATO CITY-S.K. PENDATUN,48
2259,4076,DCR,MINDANAO 2,DAVAO-C.M. RECTO,03008-015-5,03008-015-5,MINDANAO,DAVAO-C.M. RECTO,47
2260,4077,DDS,MINDANAO 1,DAVAO-CABAGUIO AVE.,03008-021-0,03008-021-0,MINDANAO,DAVAO-CABAGUIO AVE.,46
2261,4078,ADD,MINDANAO 1,DAVAO-DIVERSION ROAD,03008-006-1,03008-006-1,MINDANAO,DAVAO-DIVERSION ROAD,46
2264,4081,DST,MINDANAO 2,DAVAO-MAGSAYSAY-LIZADA,03008-014-2,03008-014-2,MINDANAO,DAVAO-MAGSAYSAY-LIZADA,47
2265,4082,KID,MINDANAO 1,DAVAO-CALINAN,03008-023-6,03008-023-6,MINDANAO,DAVAO-CALINAN,46
2267,4084,DMV,MINDANAO 2,DAVAO-MONTEVERDE-SALES,03008-007-4,03008-007-4,MINDANAO,DAVAO-MONTEVERDE-SALES,47
2270,4087,TRL,MINDANAO 1,DAVAO-MATINA-MACARTHUR HIGHWAY,03008-017-1,03008-017-1,MINDANAO,DAVAO-MATINA-MACARTHUR HIGHWAY,46
2271,4101,CDO,MINDANAO 5,CDO-CORRALES-CHAVES,10008-001-4,10008-001-4,MINDANAO,CDO-CORRALES-CHAVES,50
2275,4105,CAG,MINDANAO 5,CDO-COGON,10008-005-6,10008-005-6,MINDANAO,CDO-COGON,50
2276,4106,ILI,MINDANAO 5,ILIGAN CITY-AGUINALDO,18008-001-8,18008-001-8,MINDANAO,ILIGAN CITY-AGUINALDO,50
2278,4108,LKK,MINDANAO 5,CDO-LIMKETKAI DRIVE,10008-004-3,10008-004-3,MINDANAO,CDO-LIMKETKAI DRIVE,50
2279,4109,LNC,MINDANAO 5,CDO-LIMKETKAI MALL NORTH CONCOURSE,10008-002-7,10008-002-7,MINDANAO,CDO-LIMKETKAI MALL NORTH CONCOURSE,50
2284,4115,VLN,MINDANAO 5,BUKIDNON-MARAMAG,51008-003-1,51008-003-1,MINDANAO,BUKIDNON-MARAMAG,50
2285,4116,VLC,MINDANAO 5,VALENCIA CITY-MABINI,51008-002-8,51008-002-8,MINDANAO,VALENCIA CITY-MABINI,50
2288,4128,DIP,MINDANAO 6,DIPOLOG CITY-RIZAL,50008-002-5,50008-002-5,MINDANAO,DIPOLOG CITY-RIZAL,48
2289,4129,IPL,MINDANAO 6,ZAMBOANGA SIBUGAY-IPIL,60008-002-2,60008-002-2,MINDANAO,ZAMBOANGA SIBUGAY-IPIL,48
2292,4132,MOL,MINDANAO 6,ZAMBOANGA DEL SUR-MOLAVE,25008-005-8,25008-005-8,MINDANAO,ZAMBOANGA DEL SUR-MOLAVE,48
2293,4133,ORQ,MINDANAO 6,MISAMIS OCC.-OROQUIETA CITY,76008-001-4,76008-001-4,MINDANAO,MISAMIS OCC.-OROQUIETA CITY,48
2294,4134,OZS,MINDANAO 6,OZAMIS CITY-RIZAL AVE.,25008-002-9,25008-002-9,MINDANAO,OZAMIS CITY-RIZAL AVE.,48
2295,4135,OZM,MINDANAO 6,OZAMIS CITY-BURGOS,25008-003-2,25008-003-2,MINDANAO,OZAMIS CITY-BURGOS,48
2296,4136,PGZ,MINDANAO 6,PAGADIAN CITY-PAJARES,72008-002-5,72008-002-5,MINDANAO,PAGADIAN CITY-PAJARES,48
2300,4151,BAS,MINDANAO 7,BASILAN-ISABELA-ROXAS,62008-002-8,62008-002-8,MINDANAO,BASILAN-ISABELA-ROXAS,51
2303,4154,JLO,VISAYAS 7,BORACAY STATION 1 to 3102,29008-004-7,29008-004-7,VISAYAS,BORACAY STATION 1 to 3102,44
2304,4155,JGA,MINDANAO 7,JOLO-AROLAS,63008-002-1,63008-002-1,MINDANAO,JOLO-AROLAS,51
2306,4157,TAW,VISAYAS 2,CEBU-LILOAN,02008-036-9,02008-036-9,VISAYAS,CEBU-LILOAN,39
2307,4158,TWI,MINDANAO 7,TAWI-TAWI-BONGAO,09008-010-8,09008-010-8,MINDANAO,TAWI-TAWI-BONGAO,51
2313,4164,TTN,MINDANAO 7,ZAMBOANGA-TETUAN,09008-002-7,09008-002-7,MINDANAO,ZAMBOANGA-TETUAN,51
2314,4165,VTS,MINDANAO 7,ZAMBOANGA-VETERANS AVENUE,09008-008-5,09008-008-5,MINDANAO,ZAMBOANGA-VETERANS AVENUE,51
2317,6118,HJK,HEAD OFFICE,CONS LOANS OP DEPT-MGR,00008-611-8,00008-611-8,HEAD OFFICE,CONS LOANS OP DEPT-MGR,1
2318,6301,CLP,SOL 7,OR MINDORO-CALAPAN SAN VICENTE WEST to 2406,38008-003-8,38008-003-8,SOL,OR MINDORO-CALAPAN SAN VICENTE WEST to 2406,37
2320,6303,ROM,SOL 7,OR. MINDORO-ROXAS,38008-006-7,38008-006-7,SOL,OR. MINDORO-ROXAS,37
2323,6306,VIC,SOL 7,OR. MINDORO-VICTORIA,38008-008-3,38008-008-3,SOL,OR. MINDORO-VICTORIA,37
2328,6311,BMQ,SOL 4,MARINDUQUE-BOAC-D. MERCADER to 2477,01008-983-3,01008-983-3,SOL,MARINDUQUE-BOAC-D. MERCADER to 2477,34
2330,6313,SNJ,SOL 7,OCC MINDORO-SAN JOSE LIBORO to 2411,73008-002-8,73008-002-8,SOL,OCC MINDORO-SAN JOSE LIBORO to 2411,37
2333,6316,TAN,SOL 1,BATANGAS-TANAUAN-VICTORY MALL,19008-012-1,19008-012-1,SOL,BATANGAS-TANAUAN-VICTORY MALL,31
2335,6319,OBA,NOL 4,BULACAN-OBANDO,13008-023-3,13008-023-3,NOL,BULACAN-OBANDO,26
2337,6321,BRZ,NMM-7,RIZAL-BINANGONAN,01008-289-8,01008-289-8,NMMR,RIZAL-BINANGONAN,8
2338,6322,ORI,NOL 6,BATAAN-ORION,06008-019-6,06008-019-6,NOL,BATAAN-ORION,28
2339,6323,CAT,VISAYAS 7,AKLAN-CATICLAN,29008-005-0,29008-005-0,VISAYAS,AKLAN-CATICLAN,44
2341,6325,ZAB,NMM-2,CALOOCAN-CAMARIN to 1115,01008-290-8,01008-290-8,NMMR,CALOOCAN-CAMARIN to 1115,3
2342,6326,TTC,SMM-7,TAGUIG-BAGONG CALZADA,01008-291-1,01008-291-1,SMMR,TAGUIG-BAGONG CALZADA,21
2343,6327,CCO,MINDANAO 5,CDO-TIN-AO,10008-008-5,10008-008-5,MINDANAO,CDO-TIN-AO,50
2344,6328,BTG,SOL-1,BATANGAS CITY-DIEGO SILANG,19008-015-0,19008-015-0,SOL,BATANGAS CITY-DIEGO SILANG,31
2346,6330,CNE,NOL 8,CABANATUAN-DAAN SARILE to 2261,13008-024-6,13008-024-6,NOL,CABANATUAN-DAAN SARILE to 2261,30
2352,6336,SRL,SOL 3,LAGUNA-STA. ROSA-BALIBAGO to 2462,31008-023-1,31008-023-1,SOL,LAGUNA-STA. ROSA-BALIBAGO to 2462,33
2355,6339,LEG,SOL 6,LEGAZPI CITY-LAPU-LAPU to 2530,16008-012-2,16008-012-2,SOL,LEGAZPI CITY-LAPU-LAPU to 2530,36
2356,6340,BLR,NOL 6,AURORA-BALER,01008-981-7,01008-981-7,NOL,AURORA-BALER,28
2357,6341,MKN,NMM-5,MARIKINA-CONCEPCION-J.P. RIZAL to 1283,01008-294-0,01008-294-0,NMMR,MARIKINA-CONCEPCION-J.P. RIZAL to 1283,6
2360,6344,MAR,NOL 4,BULACAN-MARILAO,13008-026-2,13008-026-2,NOL,BULACAN-MARILAO,26
2361,6345,TRT,NOL 8,TARLAC CITY-SAN NICOLAS to 2088,22008-008-8,22008-008-8,NOL,TARLAC CITY-SAN NICOLAS to 2088,30
2362,6346,TAY,NMM-5,RIZAL-TAYTAY-PARAMDAM to 1314,01008-296-6,01008-296-6,NMMR,RIZAL-TAYTAY-PARAMDAM to 1314,6
2368,6352,CNC,NMM-1,CALOOCAN-10TH AVE. SOUTH,01008-299-5,01008-299-5,NMMR,CALOOCAN-10TH AVE. SOUTH,2
2371,6355,MUN,SMM-6,MUNTINLUPA-PUTATAN to 1460,01008-301-7,01008-301-7,SMMR,MUNTINLUPA-PUTATAN to 1460,20
2372,6356,PBL,SOL 4,QUEZON-PAGBILAO,14008-008-7,14008-008-7,SOL,QUEZON-PAGBILAO,34
2373,6357,NVT,SOL 2,CAVITE-NOVELETA to 2428,41008-021-2,41008-021-2,SOL,CAVITE-NOVELETA to 2428,32
2374,6358,PSC,SMM-5,PASAY-GIL PUYAT,01008-303-3,01008-303-3,SMMR,PASAY-GIL PUYAT,19
2375,6359,ILL,VISAYAS 6,ILOILO-MABINI to 3112,08008-014-7,08008-014-7,VISAYAS,ILOILO-MABINI to 3112,43
2376,6360,PGC,NMM-5,PASIG-KAPITOLYO,01008-302-0,01008-302-0,NMMR,PASIG-KAPITOLYO,6
2377,6361,MCB,VISAYAS 1,CEBU-MABOLO,02008-040-8,02008-040-8,VISAYAS,CEBU-MABOLO,38
2378,6362,LBN,SOL 4,QUEZON-LUCBAN,14008-009-0,14008-009-0,SOL,QUEZON-LUCBAN,34
2380,6364,ORT,NMM-6,SAN JUAN-ETON SQUARE ORTIGAS,01008-305-9,01008-305-9,NMMR,SAN JUAN-ETON SQUARE ORTIGAS,7
2384,6369,LLP,SMM-8,LAS PIÑAS CITY-BF RESORT VILLAGE,01008-306-2,01008-306-2,SMMR,LAS PIÑAS CITY-BF RESORT VILLAGE,22
2385,8001,HLO,HEAD OFFICE,REGIONAL LOANS & CREDIT OPERATIONS DIV,00008-800-1,00008-800-1,HEAD OFFICE,REGIONAL LOANS & CREDIT OPERATIONS DIV,1
2386,8007,HZR,HEAD OFFICE,LOANS SERVICE CENTER,00008-800-7,00008-800-7,HEAD OFFICE,LOANS SERVICE CENTER,1
2387,8008,HZM,HEAD OFFICE,MANILA LOANS & SERVICE CENTER,00008-800-8,00008-800-8,HEAD OFFICE,MANILA LOANS & SERVICE CENTER,1
1794,1412,PMP,SMM-6,MAKATI-BUENDIA-PETRON MEGA PLAZA,01008-002-3,01008-002-3,SMMR,MAKATI-BUENDIA-PETRON MEGA PLAZA,20
1795,1413,SLO,SMM-4,MAKATI-SAN LORENZO,01008-051-5,01008-051-5,SMMR,MAKATI-SAN LORENZO,18
1796,1414,SLA,SMM-4,MAKATI-SAN LORENZO-ARNAIZ,01008-189-9,01008-189-9,SMMR,MAKATI-SAN LORENZO-ARNAIZ,18
1799,1427,BON,NMM-5,MANDALUYONG-BONI AVENUE,01008-166-6,01008-166-6,NMMR,MANDALUYONG-BONI AVENUE,6
1801,1429,FBI,SMM-6,BGC-INFINITY,01008-258-4,01008-258-4,SMMR,BGC-INFINITY,20
1802,1430,FBM,SMM-3,TAGUIG-MCKINLEY HILL to 1442,01008-257-1,01008-257-1,SMMR,TAGUIG-MCKINLEY HILL to 1442,17
1804,1432,BGC,SMM-6,BGC-LUXE RESIDENCES,01008-256-8,01008-256-8,SMMR,BGC-LUXE RESIDENCES,20
1805,1433,GLP,SMM-6,MAKATI-GUADALUPE,01008-115-8,01008-115-8,SMMR,MAKATI-GUADALUPE,20
1807,1435,MSW,NMM-5,MANDALUYONG SHAW-ACACIA LANE,01008-186-0,01008-186-0,NMMR,MANDALUYONG SHAW-ACACIA LANE,6
1808,1436,PTK,SMM-5,MAKATI-METROPOLITAN AVENUE,01008-242-9,01008-242-9,SMMR,MAKATI-METROPOLITAN AVENUE,19
1811,1439,SAV,SMM-4,MAKATI-DELA COSTA,01008-140-4,01008-140-4,SMMR,MAKATI-DELA COSTA,18
1813,1441,BGS,SMM-6,BGC-7TH AVENUE,01008-269-4,01008-269-4,SMMR,BGC-7TH AVENUE,20
1814,1442,TMW,SMM-7,TAGUIG-MCKINLEY WEST,01008-270-4,01008-270-4,SMMR,TAGUIG-MCKINLEY WEST,21
1817,1445,BOM,SMM-6,BGC-ONE MCKINLEY PLACE,01008-274-6,01008-274-6,SMMR,BGC-ONE MCKINLEY PLACE,20
1818,1446,BWC,SMM-6,BGC-W CITY CENTER,01008-273-3,01008-273-3,SMMR,BGC-W CITY CENTER,20
1820,1448,BGM,SMM-6,BGC-MENARCO,01008-280-1,01008-280-1,SMMR,BGC-MENARCO,20
1821,1449,MDG,NMM-5,MANDALUYONG-D. GUEVARRA,01008-286-9,01008-286-9,NMMR,MANDALUYONG-D. GUEVARRA,6
1823,1452,ALL,SMM-8,LAS PIÑAS-ONE TOWNSQUARE PLACE,01008-246-1,01008-246-1,SMMR,LAS PIÑAS-ONE TOWNSQUARE PLACE,22
1824,1453,ABM,SMM-8,MUNTINLUPA-ALABANG-MADRIGAL BUSINESS PARK,01008-095-5,01008-095-5,SMMR,MUNTINLUPA-ALABANG-MADRIGAL BUSINESS PARK,22
1825,1454,AMZ,SMM-8,LAS PIÑAS-ALMANZA UNO,01008-098-4,01008-098-4,SMMR,LAS PIÑAS-ALMANZA UNO,22
1826,1455,ALM,SMM-8,MUNTINLUPA-ALABANG-AYALA SOUTH PARK,01008-221-2,01008-221-2,SMMR,MUNTINLUPA-ALABANG-AYALA SOUTH PARK,22
1829,1458,LSP,SMM-8,LAS PIÑAS-CITY HALL,01008-105-1,01008-105-1,SMMR,LAS PIÑAS-CITY HALL,22
1830,1459,LAS,SMM-8,LAS PIÑAS-ALMANZA,01008-150-1,01008-150-1,SMMR,LAS PIÑAS-ALMANZA,22
1909,1677,ERM,SMM-3,MANILA-ERMITA U.N. AVE.,01008-143-3,01008-143-3,SMMR,MANILA-ERMITA U.N. AVE.,17
1913,1681,PFA,CMM-6,MANILA-PADRE FAURA,01008-222-5,01008-222-5,CMMR,MANILA-PADRE FAURA,14
1914,1682,PND,SMM-3,MANILA-PANDACAN,01008-020-1,01008-020-1,SMMR,MANILA-PANDACAN,17
1915,1683,PGH,SMM-3,MANILA-PGH,01008-008-1,01008-008-1,SMMR,MANILA-PGH,17
1921,1704,LGT,SMM-3,MANILA-LEON GUINTO,01008-006-5,01008-006-5,SMMR,MANILA-LEON GUINTO,17
1922,1705,MLT,SMM-3,MANILA-MALATE-TAFT,01008-036-6,01008-036-6,SMMR,MANILA-MALATE-TAFT,17
1925,1708,SDR,SMM-3,MANILA-SAN ANDRES,01008-188-6,01008-188-6,SMMR,MANILA-SAN ANDRES,17
1926,1709,TFT,CMM-6,MANILA-TAFT AVE.-ONE ARCHERS,01008-218-6,01008-218-6,CMMR,MANILA-TAFT AVE.-ONE ARCHERS,14
1927,1710,VIT,CMM-6,MANILA-VITO CRUZ to 1702,01008-245-8,01008-245-8,CMMR,MANILA-VITO CRUZ to 1702,14
1929,1888,MBR,SMM-5,HEAD OFFICE CENTER,01008-097-1,01008-097-1,SMMR,HEAD OFFICE CENTER,19
1930,2001,BLG,NOL 4,BULACAN-BALAGTAS,13008-010-7,13008-010-7,NOL,BULACAN-BALAGTAS,26
1935,2006,MYC,NOL 4,MEYCAUAYAN CITY-MACARTHUR-SALUYSOY,13008-011-0,13008-011-0,NOL,MEYCAUAYAN CITY-MACARTHUR-SALUYSOY,26
1936,2007,MEY,NOL 4,MEYCAUAYAN CITY-ESPERANZA MALL,13008-017-8,13008-017-8,NOL,MEYCAUAYAN CITY-ESPERANZA MALL,26
1938,2009,PUL,NOL 4,BULACAN-ROBINSONS PULILAN,13008-009-7,13008-009-7,NOL,BULACAN-ROBINSONS PULILAN,26
1940,2011,SRA,NOL 4,BULACAN-SAN RAFAEL,13008-021-7,13008-021-7,NOL,BULACAN-SAN RAFAEL,26
1955,2038,SFP,NOL 5,SAN FERNANDO CITY-MACARTHUR HI-WAY,06008-013-8,06008-013-8,NOL,SAN FERNANDO CITY-MACARTHUR HI-WAY,27
1956,2039,SFO,NOL 5,SAN FERNANDO CITY-A. CONSUNJI,06008-003-1,06008-003-1,NOL,SAN FERNANDO CITY-A. CONSUNJI,27
1958,2051,BLN,NOL 6,BATAAN-BALANGA,06008-007-3,06008-007-3,NOL,BATAAN-BALANGA,28
1959,2052,BEP,NOL 6,BATAAN-MARIVELES-BEPZ,06008-012-5,06008-012-5,NOL,BATAAN-MARIVELES-BEPZ,28
1960,2053,DPH,NOL 6,BATAAN-DINALUPIHAN,28008-002-8,28008-002-8,NOL,BATAAN-DINALUPIHAN,28
1961,2054,GGW,NOL 5,PAMPANGA-GUAGUA,06008-002-8,06008-002-8,NOL,PAMPANGA-GUAGUA,27
1962,2055,IBA,NOL 6,ZAMBALES-IBA-R. MAGSAYSAY AVE.,28008-004-4,28008-004-4,NOL,ZAMBALES-IBA-R. MAGSAYSAY AVE.,28
1964,2057,NZM,NOL 6,ZAMBALES-STA. CRUZ,01008-992-7,01008-992-7,NOL,ZAMBALES-STA. CRUZ,28
1965,2058,OGP,NOL 6,OLONGAPO CITY-RIZAL AVE.,28008-001-5,28008-001-5,NOL,OLONGAPO CITY-RIZAL AVE.,28
1967,2060,ORN,NOL 6,BATAAN-ORANI,06008-008-6,06008-008-6,NOL,BATAAN-ORANI,28
1969,2076,AMS,NOL 7,ALAMINOS CITY-QUEZON AVE.,05008-006-7,05008-006-7,NOL,ALAMINOS CITY-QUEZON AVE.,29
1972,2079,DGP,NOL 7,DAGUPAN CITY-A.B. FERNANDEZ,05008-001-2,05008-001-2,NOL,DAGUPAN CITY-A.B. FERNANDEZ,29
1973,2080,DAG,NOL 7,DAGUPAN CITY-A.B. FERNANDEZ-NABLE,05008-008-3,05008-008-3,NOL,DAGUPAN CITY-A.B. FERNANDEZ-NABLE,29
1976,2083,MDN,NOL 7,PANGASINAN-MANGALDAN,05008-011-9,05008-011-9,NOL,PANGASINAN-MANGALDAN,29
1978,2085,RSL,NOL 7,PANGASINAN-ROSALES,05008-007-0,05008-007-0,NOL,PANGASINAN-ROSALES,29
1981,2088,TAR,NOL 8,TARLAC CITY-ZAMORA,22008-005-9,22008-005-9,NOL,TARLAC CITY-ZAMORA,30
1983,2090,URD,NOL 7,URDANETA CITY-NANCAYASAN,05008-003-8,05008-003-8,NOL,URDANETA CITY-NANCAYASAN,29
1984,2091,LTB,NOL 7,URDANETA CITY-ALEXANDER,05008-012-2,05008-012-2,NOL,URDANETA CITY-ALEXANDER,29
1985,2201,ABA,NOL 1,BAGUIO CITY-RIZAL PARK,12008-003-6,12008-003-6,NOL,BAGUIO CITY-RIZAL PARK,23
1987,2203,ALU,NOL 1,AGOO-SAN ANTONIO,15008-004-8,15008-004-8,NOL,AGOO-SAN ANTONIO,23
1989,2205,BGO,NOL 1,BAGUIO CITY-CENTER MALL,12008-005-2,12008-005-2,NOL,BAGUIO CITY-CENTER MALL,23
1991,2207,LUN,NOL 1,LA UNION-SAN FERNANDO PLAZA,15008-001-9,15008-001-9,NOL,LA UNION-SAN FERNANDO PLAZA,23
1993,2209,NRB,NOL 1,BAGUIO CITY-NAGUILIAN ROAD,12008-007-8,12008-007-8,NOL,BAGUIO CITY-NAGUILIAN ROAD,23
1995,2226,BGD,NOL 2,ABRA-BANGUED,32008-004-3,32008-004-3,NOL,ABRA-BANGUED,24
1996,2227,BAN,NOL 2,ABRA-BANGUED-MAGALLANES,32008-006-9,32008-006-9,NOL,ABRA-BANGUED-MAGALLANES,24
1997,2228,BTC,NOL 2,ILOCOS NORTE-BATAC,17008-001-5,17008-001-5,NOL,ILOCOS NORTE-BATAC,24
1998,2229,CDN,NOL 2,CANDON CITY-SAN ANTONIO,32008-003-0,32008-003-0,NOL,CANDON CITY-SAN ANTONIO,24
1999,2230,CIS,NOL 2,CANDON CITY-NATIONAL. HI-WAY,32008-007-2,32008-007-2,NOL,CANDON CITY-NATIONAL. HI-WAY,24
2003,2234,PSQ,NOL 2,ILOCOS NORTE-PASUQUIN,17008-005-7,17008-005-7,NOL,ILOCOS NORTE-PASUQUIN,24
2005,2236,VGN,NOL 2,VIGAN CITY MARKET,32008-005-6,32008-005-6,NOL,VIGAN CITY MARKET,24
2007,2252,BTK,NOL 1,MOUNTAIN PROVINCE-BONTOC,01008-986-2,01008-986-2,NOL,MOUNTAIN PROVINCE-BONTOC,23
2009,2254,CBP,NOL 8,CABANATUAN-MAHARLIKA,13008-014-9,13008-014-9,NOL,CABANATUAN-MAHARLIKA,30
2010,2255,GPN,NOL 8,NUEVA ECIJA-GAPAN-SAN VICENTE,13008-003-9,13008-003-9,NOL,NUEVA ECIJA-GAPAN-SAN VICENTE,30
2011,2256,GPP,NOL 8,NUEVA ECIJA-GAPAN-POBLACION,13008-015-2,13008-015-2,NOL,NUEVA ECIJA-GAPAN-POBLACION,30
2012,2257,GMB,NOL 8,NUEVA ECIJA-GUIMBA,13008-004-2,13008-004-2,NOL,NUEVA ECIJA-GUIMBA,30
2015,2260,SJE,NOL 8,NUEVA ECIJA-SAN JOSE,13008-002-6,13008-002-6,NOL,NUEVA ECIJA-SAN JOSE,30
2017,2262,SLN,NOL 3,ISABELA-ALICIA,26008-012-9,26008-012-9,NOL,ISABELA-ALICIA,25
2018,2263,SOL,NOL 3,NUEVA VIZCAYA-SOLANO,26008-011-6,26008-011-6,NOL,NUEVA VIZCAYA-SOLANO,25
2019,2264,NES,NOL 8,NUEVA ECIJA-STA. ROSA,13008-020-4,13008-020-4,NOL,NUEVA ECIJA-STA. ROSA,30
2021,2277,BSC,NOL 2,BATANES-BASCO,01008-984-6,01008-984-6,NOL,BATANES-BASCO,24
2024,2280,CIL,NOL 3,ISABELA-CENTRO ILAGAN,26008-006-4,26008-006-4,NOL,ISABELA-CENTRO ILAGAN,25
2026,2282,MLP,NOL 3,ISABELA-ROXAS,26008-005-1,26008-005-1,NOL,ISABELA-ROXAS,25
2033,2289,TUG,NOL 3,CAGAYAN-TUGUEGARAO-BRICKSTONE MALL,23008-006-5,23008-006-5,NOL,CAGAYAN-TUGUEGARAO-BRICKSTONE MALL,25
2036,2403,BKM,SOL 1,BATANGAS CITY-KUMINTANG,19008-009-5,19008-009-5,SOL,BATANGAS CITY-KUMINTANG,31
2037,2404,BAT,SOL 1,BATANGAS CITY-PALLOCAN WEST,19008-006-6,19008-006-6,SOL,BATANGAS CITY-PALLOCAN WEST,31
2039,2406,CPN,SOL 7,OR. MINDORO-CALAPAN,38008-001-2,38008-001-2,SOL,OR. MINDORO-CALAPAN,37
2041,2408,LPA,SOL 1,LIPA CITY-B. MORADA,19008-002-4,19008-002-4,SOL,LIPA CITY-B. MORADA,31
2043,2410,MBU,SOL 7,OCC. MINDORO-MAMBURAO,01008-990-1,01008-990-1,SOL,OCC. MINDORO-MAMBURAO,37
2044,2411,MGR,SOL 7,OCC. MINDORO-SAN JOSE,73008-001-5,73008-001-5,SOL,OCC. MINDORO-SAN JOSE,37
2046,2413,ODN,SOL 7,ROMBLON-ODIONGAN,01008-993-0,01008-993-0,SOL,ROMBLON-ODIONGAN,37
2048,2415,RMB,SOL 7,ROMBLON-REPUBLIKA,01008-995-6,01008-995-6,SOL,ROMBLON-REPUBLIKA,37
2050,2427,BRP,SOL 2,BACOOR CITY-PANAPAAN,41008-007-6,41008-007-6,SOL,BACOOR CITY-PANAPAAN,32
2051,2428,CVC,SOL 2,CAVITE CITY-CARIDAD,41008-001-8,41008-001-8,SOL,CAVITE CITY-CARIDAD,32
2057,2434,IMU,SOL 2,CAVITE-IMUS-AGUINALDO,41008-011-5,41008-011-5,SOL,CAVITE-IMUS-AGUINALDO,32
2058,2435,KWT,SOL 2,CAVITE-KAWIT-BINAKAYAN,41008-009-2,41008-009-2,SOL,CAVITE-KAWIT-BINAKAYAN,32
2064,2441,TNZ,SOL 2,CAVITE-TANZA,41008-014-4,41008-014-4,SOL,CAVITE-TANZA,32
2067,2453,CBY,SOL 3,LAGUNA-CABUYAO-ABI,31008-011-8,31008-011-8,SOL,LAGUNA-CABUYAO-ABI,33
2070,2456,BUC,SOL 3,LAGUNA-CALAMBA-BUCAL,31008-008-2,31008-008-2,SOL,LAGUNA-CALAMBA-BUCAL,33
2073,2459,PSR,SOL 3,LAGUNA-PASEO DE SANTA ROSA,31008-019-2,31008-019-2,SOL,LAGUNA-PASEO DE SANTA ROSA,33
2076,2462,STR,SOL 3,LAGUNA-STA. ROSA,31008-009-5,31008-009-5,SOL,LAGUNA-STA. ROSA,33
2077,2463,LSR,SOL 3,LAGUNA-CABUYAO-CENTRO MALL,31008-015-0,31008-015-0,SOL,LAGUNA-CABUYAO-CENTRO MALL,33
2081,2476,AMN,SOL 4,QUEZON-ATIMONAN,14008-002-9,14008-002-9,SOL,QUEZON-ATIMONAN,34
2083,2478,CND,SOL 4,QUEZON-CANDELARIA,14008-006-1,14008-006-1,SOL,QUEZON-CANDELARIA,34
2088,2483,MLK,SOL 4,MARINDUQUE-STA. CRUZ,01008-998-5,01008-998-5,SOL,MARINDUQUE-STA. CRUZ,34
2089,2484,SNP,SOL 3,LAGUNA-SAN PABLO CITY COLAGO,31008-010-5,31008-010-5,SOL,LAGUNA-SAN PABLO CITY COLAGO,33
2090,2485,SPB,SOL 3,LAGUNA-SAN PABLO CITY,31008-001-1,31008-001-1,SOL,LAGUNA-SAN PABLO CITY,33
2092,2487,STC,SOL 4,LAGUNA-STA. CRUZ-P. GUEVARRA,31008-004-0,31008-004-0,SOL,LAGUNA-STA. CRUZ-P. GUEVARRA,34
2093,2488,SCL,SOL 4,LAGUNA-STA. CRUZ-REGIDOR,31008-013-4,31008-013-4,SOL,LAGUNA-STA. CRUZ-REGIDOR,34
2094,2489,TNU,SOL 1,BATANGAS-TANAUAN,19008-011-8,19008-011-8,SOL,BATANGAS-TANAUAN,31
