SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
1778,1310,RSE,NMM-7,PASIG-C. RAYMUNDO,01008-205-0,01008-205-0,NMMR,PASIG-C. RAYMUNDO,8
1779,1311,RSO,NMM-5,PASIG-TIENDESITAS,01008-112-9,01008-112-9,NMMR,PASIG-TIENDESITAS,6
1780,1312,STL,NMM-5,PASIG-SANTOLAN,01008-107-7,01008-107-7,NMMR,PASIG-SANTOLAN,6
1781,1313,TNY,NMM-7,RIZAL-TANAY,01008-070-6,01008-070-6,NMMR,RIZAL-TANAY,8
1782,1314,TYT,NMM-7,RIZAL-TAYTAY,01008-113-2,01008-113-2,NMMR,RIZAL-TAYTAY,8
1783,1401,AGE,SMM-4,MAKATI-AGUIRRE,01008-190-9,01008-190-9,SMMR,MAKATI-AGUIRRE,18
1784,1402,AMO,SMM-5,MAKATI-AMORSOLO,01008-126-8,01008-126-8,SMMR,MAKATI-AMORSOLO,19
1785,1403,AYA,SMM-6,MAKATI-AYALA AVE.,01008-065-4,01008-065-4,SMMR,MAKATI-AYALA AVE.,20
1786,1404,BVD,SMM-4,MAKATI-BENAVIDEZ,01008-096-8,01008-096-8,SMMR,MAKATI-BENAVIDEZ,18
1787,1405,PYR,SMM-4,MAKATI-CHINO ROCES AVE.EXT to 1406,01008-213-1,01008-213-1,SMMR,MAKATI-CHINO ROCES AVE.EXT to 1406,18
1788,1406,DSM,SMM-5,MAKATI-DASMARIÑAS VILLAGE,01008-110-3,01008-110-3,SMMR,MAKATI-DASMARIÑAS VILLAGE,19
1789,1407,GBE,SMM-4,MAKATI-GREENBELT,01008-227-0,01008-227-0,SMMR,MAKATI-GREENBELT,18
1790,1408,LGV,SMM-4,MAKATI-SALCEDO ST.-LEGASPI VILLAGE,01008-074-8,01008-074-8,SMMR,MAKATI-SALCEDO ST.-LEGASPI VILLAGE,18
1791,1409,MPB,SMM-4,MAKATI-C. PALANCA,01008-236-4,01008-236-4,SMMR,MAKATI-C. PALANCA,18
1792,1410,MPO,SMM-4,MAKATI-P. OCAMPO,01008-287-2,01008-287-2,SMMR,MAKATI-P. OCAMPO,18
1793,1411,PMO,SMM-5,MAKATI-PASONG TAMO,01008-193-8,01008-193-8,SMMR,MAKATI-PASONG TAMO,19
1797,1415,MAY,SMM-4,MAKATI-AYALA RUFINO,01008-275-9,01008-275-9,SMMR,MAKATI-AYALA RUFINO,18
1798,1426,BAM,SMM-6,MAKATI-BEL-AIR,01008-064-1,01008-064-1,SMMR,MAKATI-BEL-AIR,20
1800,1428,BDA,SMM-5,MAKATI-BUENDIA-DIAN,01008-196-7,01008-196-7,SMMR,MAKATI-BUENDIA-DIAN,19
1803,1431,GPY,SMM-5,MAKATI-ETON YAKAL,01008-079-3,01008-079-3,SMMR,MAKATI-ETON YAKAL,19
1806,1434,MKP,SMM-6,MAKATI-POBLACION,01008-013-3,01008-013-3,SMMR,MAKATI-POBLACION,20
1809,1437,PNR,NMM-5,MANDALUYONG-PIONEER,01008-057-3,01008-057-3,NMMR,MANDALUYONG-PIONEER,6
1810,1438,SCD,SMM-4,MAKATI-LEVISTE ST.-SALCEDO VILLAGE,01008-068-3,01008-068-3,SMMR,MAKATI-LEVISTE ST.-SALCEDO VILLAGE,18
1812,1440,FBC,SMM-6,BGC-BURGOS CIRCLE,01008-265-2,01008-265-2,SMMR,BGC-BURGOS CIRCLE,20
